,Christian H. Holland,Ricardo O. Ramirez Flores,Maiju Myllys,Reham Hassan,Karolina Edlund,Ute Hofmann,Rosemarie Marchan,Cristina Cadenas,Jörg Reinders,Stefan Hoehme,Abdel-latif Seddek,Steven Dooley,Verena Keitel,Patricio Godoy,Brigitte Begher-Tibbe,Christian Trautwein,Christian Rupp,Sebastian Mueller,Thomas Longerich,Jan G. Hengstler,Julio Saez-Rodriguez,Ahmed Ghallab
Conceptualization	,,,,,,,,,,,,,,,,,,,,lead,,
Methodology,lead,,,,,,,,,,,,,,,,,,,,,
Software,lead,,,,,,,,,,,,,,,,,,,,,
Validation,,,,,,,,,,,,,,,supporting,,,,,supporting,,lead
Formal analysis,lead,supporting,,,,,,,,,,,,,,,,,,,,
Investigation,,,supporting,supporting,,supporting,,supporting,supporting,supporting,supporting,supporting,supporting,supporting,supporting,,supporting,supporting,supporting,supporting,,lead
Resources,,,,,,,,,,,,,equal,equal,,,,,,equal,,equal
Data Curation,equal,,,,,,,,,,,,equal,equal,,,,,,equal,,equal
Writing - Original Draft,equal,,,,,,,,,,,,,,,,,,,equal,,supporting
Writing - Review & Editing,equal,,,,supporting,,supporting,supporting,,,,supporting,,,,,,,,equal,,supporting
Visualization,lead,,,,,,,,,,,,,,,,,,,,,supporting
Supervision,,,,,,,,,,,,,,,,,,,,equal,equal,
Project administration,,,,,,,,,,,,,,,,,,,,lead,,
Funding acquisition,,,,,,,,,,,,,,,,supporting,,,,equal,equal,equal
