,Christian H. Holland,Jovan Tanevski,Javier Perales-Patón,Jan Gleixner,Manu P. Kumar,Elisabetta Mereu,Brian A. Joughin,Oliver Stegle,Douglas A. Lauffenburger,Holger Heyn,Bence Szalai,Julio Saez-Rodriguez
Conceptualization	,equal,no,no,no,no,no,no,no,no,no,equal,equal
Methodology,lead,supporting,no,no,supporting,no,supporting,no,supporting,no,supporting,no
Software,lead,no,supporting,no,no,no,no,no,no,no,supporting,no
Validation,supporting,no,no,no,no,no,no,no,no,no,lead,no
Formal analysis,lead,supporting,supporting,no,no,no,no,no,no,no,supporting,no
Investigation,lead,no,supporting,supporting,no,no,no,no,no,no,supporting,no
Resources,equal,no,no,supporting,no,equal,no,supporting,no,equal,supporting,no
Data Curation,lead,no,no,no,no,supporting,no,no,no,supporting,no,no
Writing - Original Draft,lead,no,no,no,no,no,no,no,no,no,supporting,no
Writing - Review & Editing,equal,supporting,no,no,no,no,supporting,no,no,no,equal,equal
Visualization,lead,no,no,no,no,no,no,no,no,no,no,no
Supervision,no,no,no,no,no,no,no,supporting,supporting,no,equal,lead
Project administration,equal,no,no,no,no,no,no,no,no,no,supporting,equal
Funding acquisition,no,no,no,no,no,no,no,no,no,supporting,supporting,lead
