,Christian H. Holland,Bence Szalai,Julio Saez-Rodriguez
Conceptualization	,supporting,lead,no
Methodology,lead,supporting,no
Software,lead,no,no
Validation,supporting,lead,no
Formal analysis,lead,supporting,no
Investigation,lead,supporting,no
Resources,no,no,no
Data Curation,lead,supporting,no
Writing - Original Draft,lead,supporting,no
Writing - Review & Editing,equal,equal,equal
Visualization,lead,no,no
Supervision,no,supporting,lead
Project administration,lead,supporting,no
Funding acquisition,no,no,lead
